time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-10-24T16:40:11.000Z,4.637208333333334,-74.082795,2398.9,6.4,133.39,0.07720833,0,gps,1.00,0.83,1.29,3.4,,,,67,
2019-10-24T16:40:34.000Z,4.63432,-74.08227666666667,2397.7,13.0,0.0,0.0,4,gps,4.26,0.91,4.35,3.4,,,,67,
2019-10-24T16:44:36.824Z,4.6380763,-74.0825768,2581.2001953125,27.972,,,0,network,,,,,,,,67,
2019-10-24T16:41:31.000Z,4.637616666666666,-74.08340166666667,2408.6,9.7,0.0,0.0,0,gps,1.05,0.81,1.32,3.4,,,,66,
2019-10-24T16:45:42.516Z,4.6374924,-74.0827489,2579.2001953125,23.557,,,0,network,,,,,,,,66,
2019-10-24T16:42:10.000Z,4.636538333333333,-74.08350166666668,2397.8,10.6,180.42,0.50133944,7,gps,1.01,0.82,1.30,3.4,,,,66,
2019-10-24T16:46:19.449Z,4.6373619,-74.082746,2578.60009765625,22.92,,,0,network,,,,,,,,66,
2019-10-24T16:46:35.510Z,4.6371909,-74.0827237,2579.2001953125,24.449,,,0,network,,,,,,,,66,
2019-10-24T16:42:58.000Z,4.63695,-74.082875,2398.0,11.2,275.05,2.0774188,8,gps,0.95,0.82,1.26,3.4,,,,66,
2019-10-24T16:47:07.969Z,4.6369753,-74.0825389,2579.10009765625,27.374,,,0,network,,,,,,,,66,
2019-10-24T16:47:12.017Z,4.637078,-74.0825284,2579.10009765625,37.422,,,0,network,,,,,,,,66,
2019-10-24T16:43:34.000Z,4.637740000000001,-74.082265,2397.7,9.5,207.14,0.7834072,6,gps,1.24,0.95,1.57,3.4,,,,66,
2019-10-24T16:43:47.000Z,4.637671666666666,-74.08270666666667,2397.8,9.6,241.02,0.9218675,6,gps,1.32,0.90,1.60,3.4,,,,66,
2019-10-24T16:47:44.397Z,4.6369643,-74.0824072,2579.10009765625,28.783,,,0,network,,,,,,,,66,
2019-10-24T16:48:00.484Z,4.6368216,-74.0826831,2579.2001953125,27.037,,,0,network,,,,,,,,66,
2019-10-24T16:48:24.614Z,4.6368065,-74.082842,2580.900146484375,29.261,,,0,network,,,,,,,,66,
2019-10-24T16:44:57.000Z,4.636235,-74.082705,2557.4,9.5,127.53,1.1926113,9,gps,0.84,0.80,1.16,3.4,,,,66,
2019-10-24T16:45:12.000Z,4.635949999999999,-74.08264166666666,2613.7,6.6,206.29,0.694875,0,gps,0.77,0.78,1.09,3.4,,,,66,
2019-10-24T16:45:27.000Z,4.635859999999999,-74.08274,2580.4,9.5,153.69,1.0150322,9,gps,0.84,0.80,1.16,3.4,,,,66,
