time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-10-24T17:55:28.000Z,4.636381666666667,-74.08647833333333,2595.5,7.2,175.01,0.19816805,0,gps,0.85,0.84,1.20,3.4,,,,57,
2019-10-24T17:59:39.550Z,4.6363919,-74.0863719,2579.7001953125,27.938,,,0,network,,,,,,,,57,
2019-10-24T17:56:05.000Z,4.636206666666666,-74.08648166666667,2569.7,9.8,172.41,1.4844589,0,gps,1.27,0.89,1.55,3.4,,,,57,
2019-10-24T18:00:16.552Z,4.6358204,-74.0865949,2579.300048828125,36.512,,,0,network,,,,,,,,57,
2019-10-24T18:00:39.836Z,4.6358825,-74.0867458,2579.300048828125,37.531,,,0,network,,,,,,,,57,
2019-10-24T17:56:55.000Z,4.635996666666667,-74.08655,2575.8,8.8,273.34,0.43236667,5,gps,1.28,0.92,1.58,3.4,,,,57,
2019-10-24T17:57:09.000Z,4.635865,-74.086665,2572.3,10.6,0.0,0.0,0,gps,0.92,0.84,1.25,3.4,,,,57,
2019-10-24T17:57:23.000Z,4.635791666666666,-74.08674666666667,2587.8,9.8,231.96,0.9136319,0,gps,1.09,0.86,1.39,3.4,,,,57,
2019-10-24T17:57:36.000Z,4.635876666666666,-74.08697333333333,2577.6,10.9,0.0,0.0,5,gps,1.28,0.92,1.58,3.4,,,,57,
2019-10-24T18:01:48.208Z,4.6357975,-74.0870449,2580.400146484375,32.42,,,0,network,,,,,,,,57,
2019-10-24T18:01:59.809Z,4.6358181,-74.0869452,2580.400146484375,27.94,,,0,network,,,,,,,,57,
2019-10-24T17:58:31.000Z,4.6358516666666665,-74.08748999999999,2637.8,9.9,0.0,0.0,0,gps,1.12,0.94,1.46,3.4,,,,57,
2019-10-24T18:02:42.124Z,4.6358672,-74.0872714,2582.10009765625,23.831,,,0,network,,,,,,,,57,
2019-10-24T17:59:33.000Z,4.635748333333334,-74.08721999999999,2735.7,16.8,0.0,0.0,0,gps,1.37,0.94,1.66,3.4,,,,57,
2019-10-24T18:03:44.380Z,4.6358202,-74.0873235,2581.5,26.079,,,0,network,,,,,,,,57,
2019-10-24T18:00:48.000Z,4.6355949999999995,-74.08766333333332,2644.2,12.0,0.0,0.0,0,gps,0.98,0.84,1.29,3.4,,,,57,
2019-10-24T18:01:07.000Z,4.635676666666667,-74.08739666666666,2618.0,15.4,0.0,0.0,0,gps,1.31,0.96,1.62,3.4,,,,57,
2019-10-24T18:05:18.442Z,4.6359237,-74.0873532,2581.5,24.704,,,0,network,,,,,,,,57,
2019-10-24T18:09:58.650Z,4.6358619,-74.0872637,2582.0,23.11,,,0,network,,,,,,,,57,
2019-10-24T18:07:02.000Z,4.63573,-74.08672166666666,2585.9,15.5,134.48,5.2578874,0,gps,0.99,0.86,1.31,3.4,,,,57,
2019-10-24T18:07:17.000Z,4.635904999999999,-74.08662,2567.9,10.6,322.23,1.126727,6,gps,1.09,0.87,1.40,3.4,,,,56,
2019-10-24T18:07:32.000Z,4.635978333333334,-74.08652666666667,2566.4,11.8,0.0,0.0,7,gps,0.92,0.85,1.26,3.4,,,,56,
2019-10-24T18:07:47.000Z,4.6359449999999995,-74.086355,2595.1,15.8,0.0,0.0,6,gps,1.23,0.90,1.52,3.4,,,,56,
2019-10-24T18:08:04.000Z,4.635838333333334,-74.08621833333333,2586.1,17.5,0.0,0.0,7,gps,0.91,0.83,1.24,3.4,,,,56,
2019-10-24T18:08:25.000Z,4.635315,-74.08660333333334,2538.5,16.0,0.0,0.0,5,gps,2.30,0.91,2.48,3.4,,,,56,
2019-10-24T18:12:20.125Z,4.6357582,-74.086287,2579.800048828125,29.266,,,0,network,,,,,,,,56,
2019-10-24T18:12:36.652Z,4.6357579,-74.0864573,2579.800048828125,26.391,,,0,network,,,,,,,,56,
2019-10-24T18:09:06.000Z,4.635485,-74.08639166666667,2594.9,14.6,0.0,0.0,6,gps,1.34,0.89,1.61,3.4,,,,56,
2019-10-24T18:09:21.000Z,4.63525,-74.086285,2596.5,12.6,0.0,0.0,8,gps,0.84,0.83,1.18,3.4,,,,56,
2019-10-24T18:09:37.000Z,4.635048333333333,-74.08617666666667,2586.1,9.2,156.2,1.2744522,7,gps,0.93,0.85,1.26,3.4,,,,56,
2019-10-24T18:10:12.000Z,4.634961666666666,-74.08632833333333,2595.0,8.9,0.0,0.0,0,gps,1.11,0.90,1.43,3.4,,,,56,
2019-10-24T18:14:23.620Z,4.6344619,-74.0865029,2580.900146484375,25.289,,,0,network,,,,,,,,56,
2019-10-24T18:10:54.000Z,4.634711666666666,-74.086575,2579.1,10.3,0.0,0.0,0,gps,1.32,0.87,1.58,3.4,,,,56,
2019-10-24T18:11:12.000Z,4.6345366666666665,-74.08675,2586.5,8.2,175.33,0.453985,0,gps,1.12,0.88,1.42,3.4,,,,56,
2019-10-24T18:11:57.000Z,4.634173333333334,-74.08696166666667,2595.4,10.2,0.0,0.0,4,gps,2.64,0.90,2.79,3.4,,,,56,
2019-10-24T18:16:08.544Z,4.6333534,-74.0876323,,23.839,,,0,network,,,,,,,,55,
2019-10-24T18:16:59.667Z,4.6333911,-74.087511,,26.185,,,0,network,,,,,,,,55,
2019-10-24T18:17:11.088Z,4.6331155,-74.0873736,,23.757,,,0,network,,,,,,,,55,
2019-10-24T18:17:23.573Z,4.6331261,-74.087231,,25.266,,,0,network,,,,,,,,55,
2019-10-24T18:14:17.000Z,4.633641666666667,-74.08650166666666,2569.4,14.8,0.0,0.0,6,gps,1.31,0.88,1.58,3.4,,,,55,
2019-10-24T18:18:28.461Z,4.6338797,-74.0863,2583.300048828125,30.086,,,0,network,,,,,,,,55,
2019-10-24T18:18:57.636Z,4.6340244,-74.0862128,2583.0,23.849,,,0,network,,,,,,,,55,
2019-10-24T18:19:21.502Z,4.6341109,-74.0861715,2583.0,22.621,,,0,network,,,,,,,,55,
2019-10-24T18:19:33.706Z,4.6340879,-74.0860795,2583.0,26.401,,,0,network,,,,,,,,55,
2019-10-24T18:19:45.642Z,4.6342967,-74.086099,2580.900146484375,23.041,,,0,network,,,,,,,,55,
2019-10-24T18:19:57.606Z,4.6342898,-74.0859057,2580.900146484375,33.185,,,0,network,,,,,,,,55,
2019-10-24T18:16:17.000Z,4.6344433333333335,-74.08593,2587.0,8.7,115.79,0.29956833,0,gps,1.03,0.88,1.36,3.4,,,,55,
2019-10-24T18:20:29.510Z,4.634392,-74.0857528,2580.400146484375,29.007,,,0,network,,,,,,,,55,
2019-10-24T18:20:41.508Z,4.6344505,-74.0860238,2580.400146484375,28.917,,,0,network,,,,,,,,55,
2019-10-24T18:16:57.000Z,4.634501666666667,-74.08574166666668,2578.2,9.1,0.0,0.0,0,gps,0.95,0.87,1.29,3.4,,,,55,
2019-10-24T18:21:08.590Z,4.634192,-74.0854432,2580.400146484375,26.835,,,0,network,,,,,,,,55,
2019-10-24T18:21:30.564Z,4.6341751,-74.0853187,2581.5,25.094,,,0,network,,,,,,,,55,
2019-10-24T18:21:42.484Z,4.6341221,-74.0852317,2581.400146484375,30.976,,,0,network,,,,,,,,55,
2019-10-24T18:21:54.573Z,4.6339534,-74.0852059,2581.5,23.528,,,0,network,,,,,,,,55,
